fact_id,gene,source_dataset,gene_type,gold_label,claim_text,split
F001,MAPK9,CellAge,cellage,SUPPORTED,MAPK9 is listed as a cellular senescence gene in CellAge.,train
F002,NRSN2,CellAge,cellage,SUPPORTED,NRSN2 is listed as a cellular senescence gene in CellAge.,train
F003,SUMO3,CellAge,cellage,SUPPORTED,SUMO3 is listed as a cellular senescence gene in CellAge.,train
F004,ROMO1,CellAge,cellage,SUPPORTED,ROMO1 is listed as a cellular senescence gene in CellAge.,train
F005,SMAD1,CellAge,cellage,SUPPORTED,SMAD1 is listed as a cellular senescence gene in CellAge.,test
F006,NEDD4,CellAge,cellage,SUPPORTED,NEDD4 is listed as a cellular senescence gene in CellAge.,train
F007,STAT6,CellAge,cellage,SUPPORTED,STAT6 is listed as a cellular senescence gene in CellAge.,train
F008,ITPR3,CellAge,cellage,SUPPORTED,ITPR3 is listed as a cellular senescence gene in CellAge.,test
F009,UBE2C,CellAge,cellage,SUPPORTED,UBE2C is listed as a cellular senescence gene in CellAge.,train
F010,NUAK2,CellAge,cellage,SUPPORTED,NUAK2 is listed as a cellular senescence gene in CellAge.,train
F011,SIAH1,CellAge,cellage,SUPPORTED,SIAH1 is listed as a cellular senescence gene in CellAge.,test
F012,SPHK1,CellAge,cellage,SUPPORTED,SPHK1 is listed as a cellular senescence gene in CellAge.,train
F013,TACC3,CellAge,cellage,SUPPORTED,TACC3 is listed as a cellular senescence gene in CellAge.,train
F014,STAG2,CellAge,cellage,SUPPORTED,STAG2 is listed as a cellular senescence gene in CellAge.,train
F015,NUDT5,CellAge,cellage,SUPPORTED,NUDT5 is listed as a cellular senescence gene in CellAge.,train
F016,IGFBP2,OpenGenes,og_extending,SUPPORTED,IGFBP2 is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F017,CDKN2A,OpenGenes,og_extending,SUPPORTED,CDKN2A is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,test
F018,IKBKB,OpenGenes,og_extending,SUPPORTED,IKBKB is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F019,CYB5R3,OpenGenes,og_extending,SUPPORTED,CYB5R3 is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F020,TERT,OpenGenes,og_extending,SUPPORTED,TERT is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F021,CISD2,OpenGenes,og_extending,SUPPORTED,CISD2 is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F022,MTOR,OpenGenes,og_extending,SUPPORTED,MTOR is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F023,IGF1,OpenGenes,og_extending,SUPPORTED,IGF1 is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,test
F024,KL,OpenGenes,og_extending,SUPPORTED,KL is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,test
F025,GSTA4,OpenGenes,og_extending,SUPPORTED,GSTA4 is listed in OpenGenes as a gene whose activity extends mammalian lifespan.,train
F026,EEF2,OpenGenes,og_mixed,INSUFFICIENT_EVIDENCE,EEF2 is listed in OpenGenes as associated with aging (confidence: moderate).,test
F027,PRKAR2B,OpenGenes,og_mixed,INSUFFICIENT_EVIDENCE,PRKAR2B is listed in OpenGenes as associated with aging (confidence: high).,train
F028,G6PD,OpenGenes,og_mixed,INSUFFICIENT_EVIDENCE,G6PD is listed in OpenGenes as associated with aging (confidence: high).,train
F029,TOPORS,OpenGenes,og_mixed,INSUFFICIENT_EVIDENCE,TOPORS is listed in OpenGenes as associated with aging (confidence: high).,test
F030,SIRT4,OpenGenes,og_mixed,INSUFFICIENT_EVIDENCE,SIRT4 is listed in OpenGenes as associated with aging (confidence: moderate).,train
F031,GAPDH,CellAge,hard_negative,NOT_SUPPORTED,GAPDH is listed as a cellular senescence gene in CellAge.,train
F032,ACTB,CellAge,hard_negative,NOT_SUPPORTED,ACTB is listed as a cellular senescence gene in CellAge.,train
F033,TUBB,CellAge,hard_negative,NOT_SUPPORTED,TUBB is listed as a cellular senescence gene in CellAge.,train
F034,LDHA,CellAge,hard_negative,NOT_SUPPORTED,LDHA is listed as a cellular senescence gene in CellAge.,train
F035,PKM,CellAge,hard_negative,NOT_SUPPORTED,PKM is listed as a cellular senescence gene in CellAge.,test
F036,ENO1,CellAge,hard_negative,NOT_SUPPORTED,ENO1 is listed as a cellular senescence gene in CellAge.,test
F037,TPI1,CellAge,hard_negative,NOT_SUPPORTED,TPI1 is listed as a cellular senescence gene in CellAge.,train
F038,ALDOA,CellAge,hard_negative,NOT_SUPPORTED,ALDOA is listed as a cellular senescence gene in CellAge.,train
F039,PGK1,CellAge,hard_negative,NOT_SUPPORTED,PGK1 is listed as a cellular senescence gene in CellAge.,train
F040,PGAM1,CellAge,hard_negative,NOT_SUPPORTED,PGAM1 is listed as a cellular senescence gene in CellAge.,train
F041,FASN,CellAge,hard_negative,NOT_SUPPORTED,FASN is listed as a cellular senescence gene in CellAge.,test
F042,ACACA,CellAge,hard_negative,NOT_SUPPORTED,ACACA is listed as a cellular senescence gene in CellAge.,test
F043,ACLY,CellAge,hard_negative,NOT_SUPPORTED,ACLY is listed as a cellular senescence gene in CellAge.,test
F044,SUCLA2,CellAge,hard_negative,NOT_SUPPORTED,SUCLA2 is listed as a cellular senescence gene in CellAge.,test
F045,SDHA,CellAge,hard_negative,NOT_SUPPORTED,SDHA is listed as a cellular senescence gene in CellAge.,test
F046,AGEX1,CellAge,fake_trap,NOT_SUPPORTED,AGEX1 is listed as a cellular senescence gene in CellAge.,train
F047,LNVT3,CellAge,fake_trap,NOT_SUPPORTED,LNVT3 is listed as a cellular senescence gene in CellAge.,train
F048,SNRP9X,CellAge,fake_trap,NOT_SUPPORTED,SNRP9X is listed as a cellular senescence gene in CellAge.,train
F049,FOXQ7L,CellAge,fake_trap,NOT_SUPPORTED,FOXQ7L is listed as a cellular senescence gene in CellAge.,train
F050,TERT2B,CellAge,fake_trap,NOT_SUPPORTED,TERT2B is listed as a cellular senescence gene in CellAge.,train
